자치구,면적,총인구밀도,유소년인구밀도,생산가능인구밀도,고령인구밀도
종로구,23.91,6365,733,4311,1099
중구,9.96,13131,1303,8891,2339
용산구,21.87,10668,1233,7117,1662
성동구,16.82,17136,2181,11889,2740
광진구,17.06,20586,2428,14799,3078
동대문구,14.22,24873,2983,17118,4358
중랑구,18.5,21092,2432,14244,3894
성북구,24.58,17983,2610,12092,3019
강북구,23.6,12614,1386,8153,2704
도봉구,20.65,15205,1862,9807,3132
노원구,35.44,14335,2190,9379,2488
은평구,29.71,15838,2079,10392,2925
서대문구,17.63,18129,2387,12524,3021
마포구,23.85,15745,2040,10946,2233
양천구,17.41,25509,4231,16431,3974
강서구,41.45,13862,1806,9399,2252
구로구,20.12,20794,2687,14488,3835
금천구,13.02,18649,1952,13691,3350
영등포구,24.55,16215,1920,11672,2699
동작구,16.36,23870,2964,16682,4064
관악구,29.57,16951,1542,12442,2734
서초구,46.97,8696,1458,5453,1264
강남구,39.5,13522,2144,8545,1964
송파구,33.88,19616,2955,12938,2909
강동구,24.59,18871,2823,12339,3087
