자치구명,범죄밀도,00-06시_LONG,00-06시_TEMP,00-06시_고령,00-06시_생산가능,00-06시_유소년,00-06시_총,06-12시_LONG,06-12시_TEMP,06-12시_고령,06-12시_생산가능,06-12시_유소년,06-12시_총,12-18시_LONG,12-18시_TEMP,12-18시_고령,12-18시_생산가능,12-18시_유소년,12-18시_총,18-24시_LONG,18-24시_TEMP,18-24시_고령,18-24시_생산가능,18-24시_유소년,18-24시_총,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도
종로구,67.21,635.3830242,321.9932508,1958.861033,2703.443137,4357.929217,9020.233386,693.3976494,331.3834106,2598.596425,3916.193698,6007.458277,12522.2484,766.4297144,386.9141084,3155.328387,5021.777551,7435.622813,15612.72875,675.0692035,326.3431081,2186.096236,3521.072993,5361.713752,11068.88298,6365,733,4311,1099
중구,150.0,1593.639924,2138.270503,3443.700048,5725.954049,8522.987128,17692.64122,1832.733935,1979.530872,5275.859738,9881.436218,13752.34305,28909.639,2220.179058,1767.905195,6444.188053,12840.14424,17346.64866,36630.98095,1858.293652,2009.199242,4032.312323,7867.33002,11101.22064,23000.86298,13131,1303,8891,2339
용산구,79.24,786.883785,271.6122143,2338.365482,3801.370724,5978.551206,12118.28741,769.5806657,256.5741287,2541.315667,4314.808206,6606.142155,13462.26603,784.7020173,257.220338,2548.163223,4752.029424,7090.524318,14390.71697,809.1928871,271.80408,2374.027573,4267.40918,6459.188164,13100.62492,10668,1233,7117,1662
성동구,67.6,927.0210715,182.4849707,3895.493731,5991.072957,9865.474237,19752.04093,956.2158263,186.9442879,4045.282891,6569.270313,10540.77598,21155.32919,976.3257848,210.3683191,4017.059599,6930.621546,10974.71005,21922.3912,944.1633848,194.4026383,3951.534049,6422.77916,10376.79773,20751.11094,17136,2181,11889,2740
광진구,100.59,1349.724506,191.3942835,4061.400009,6986.52921,11314.1153,22362.04452,1217.722066,186.8181439,3928.435424,6552.621452,10912.77686,21393.83374,1148.127698,187.1728083,3944.895775,6354.047956,10793.6219,21092.56563,1291.482945,195.393978,4098.358019,7043.4285,11488.767,22630.55352,20586,2428,14799,3078
동대문구,103.45,1889.697044,325.6720276,5421.576668,7905.077965,12790.21783,26116.87246,1839.625414,320.4788667,5629.09143,7759.391416,12687.58239,26076.06523,1654.897528,305.3868245,5883.635396,7339.389625,12235.87815,25458.90317,1712.126996,309.513606,5504.189722,7567.068835,12397.95598,25469.21454,24873,2983,17118,4358
중랑구,96.59,344.9779705,49.34457806,5042.030676,5811.078132,10153.75221,21006.86102,307.347459,48.34017676,4648.217432,5099.730038,9200.113534,18948.061,280.4924826,45.86666785,4560.645195,4586.867839,8565.923546,17713.43658,322.8825901,47.36023779,4972.531514,5388.371034,9608.00868,19968.91123,21092,2432,14244,3894
성북구,58.91,625.0706663,134.3703365,3847.08752,5397.934476,9597.224349,18842.24634,636.0197216,136.2252872,3627.360274,4992.232679,9012.63032,17632.22327,598.9767697,130.2898477,3499.52651,4685.678356,8599.59905,16784.80392,600.3768005,132.1683813,3808.006384,5131.576796,9250.269152,18189.85233,17983,2610,12092,3019
강북구,76.23,228.6062574,43.47028546,3546.868533,3608.784473,6336.420206,13492.07321,209.9798457,42.69107692,3284.847027,3212.357792,5808.975524,12306.18034,188.7205784,40.44309871,3214.309719,2961.868299,5503.123524,11679.30154,208.4370283,41.65696737,3476.316142,3373.439242,6029.323605,12879.07899,12614,1386,8153,2704
도봉구,52.11,138.1446249,36.65861313,3821.421449,3713.969492,6932.144949,14467.53589,137.3639156,35.93387761,3586.843995,3329.702375,6414.799169,13331.34554,126.6489694,33.48960649,3540.563667,3003.888218,5974.847222,12519.29911,131.8824368,35.28108081,3793.66889,3453.53941,6586.697533,13833.90583,15205,1862,9807,3132
노원구,57.03,154.8577181,33.80097801,3502.405409,4143.040194,7879.319283,15524.76489,158.340328,33.31232521,3283.553074,3717.889747,7434.957015,14436.39983,151.939515,32.37161993,3167.634947,3476.304711,7154.991492,13798.93115,147.1631467,32.86954431,3420.343371,3919.315113,7642.611703,14982.27019,14335,2190,9379,2488
은평구,57.35,199.5535659,48.52968681,3726.368052,4520.229135,8102.54052,16349.13771,196.7269828,48.19974161,3421.52406,3888.815534,7268.061696,14578.40129,175.7466021,45.16032183,3301.340934,3392.383513,6636.308659,13330.03311,186.9964016,46.3195929,3647.086197,4113.460101,7577.253019,15337.79932,15838,2079,10392,2925
서대문구,62.79,1169.558678,504.4847879,4087.906007,6367.513719,10440.10456,20895.52429,1184.44193,486.4185869,4070.767768,6668.068527,10780.87215,21519.70844,1118.04069,431.3042621,3995.314094,6793.278383,10874.95114,21663.54361,1105.144444,442.69847,4070.028549,6368.28177,10397.50121,20835.81153,18129,2387,12524,3021
마포구,101.89,816.7544376,484.0240377,3009.934567,5784.071459,9106.508825,17900.51485,824.026209,450.4497416,3108.942525,6120.411053,9501.950874,18731.30445,860.4577947,410.4330588,3109.388102,6880.398727,10554.49402,20544.28084,870.9319816,483.6724033,3044.098984,6548.982574,10114.59127,19707.67283,15745,2040,10946,2233
양천구,81.56,277.5600494,80.033248,4691.250113,6130.927047,12247.339,23069.51617,281.5865463,80.16188811,4401.758907,5476.00509,11433.97532,21311.73931,285.4820538,78.49400317,4292.330196,5087.709652,11045.99175,20426.03159,279.7297384,79.69310086,4643.581057,5812.042772,12056.64457,22512.2684,25509,4231,16431,3974
강서구,58.84,214.637018,109.5779743,2855.464567,3920.649676,6824.830645,13600.94489,227.8458052,117.4231572,2758.077666,3832.220541,6689.751045,13280.04925,219.7693365,116.9923728,2687.028847,3664.075486,6463.561427,12814.66576,210.9676644,110.3417666,2827.896948,3789.638076,6640.990315,13258.52534,13862,1806,9399,2252
구로구,110.14,1745.18431,266.491497,4273.650108,5576.038796,9807.191523,19656.88043,1369.189073,253.2284662,4097.834978,5555.080358,9685.59707,19338.51241,1412.012858,242.2730384,4087.092818,5455.625447,9516.177124,19058.89539,1739.595607,260.3353017,4273.98677,5606.226606,9776.940924,19657.1543,20794,2687,14488,3835
금천구,103.23,1354.549902,153.9348867,3380.920372,4816.203637,7654.752591,15851.8766,1164.309156,154.7234103,3452.052362,5538.340565,8454.087399,17444.48033,1219.228172,155.3465221,3507.928155,5829.893745,8789.509565,18127.33147,1346.615373,154.1779095,3450.448631,4975.302778,7879.766659,16305.51807,18649,1952,13691,3350
