자치구명,시간대,국적,분류,생활인구밀도
강남구,00-06시,내국인,유소년,8951.746324383561
강남구,06-12시,내국인,유소년,11153.375933816544
강남구,12-18시,내국인,유소년,12999.31134911277
강남구,18-24시,내국인,유소년,10482.727188796023
강동구,00-06시,내국인,유소년,11288.404433940368
강동구,06-12시,내국인,유소년,10526.250103420292
강동구,12-18시,내국인,유소년,9885.999266840105
강동구,18-24시,내국인,유소년,10758.20688873043
강북구,00-06시,내국인,유소년,6336.420205945747
강북구,06-12시,내국인,유소년,5808.975524272502
강북구,12-18시,내국인,유소년,5503.12352364368
강북구,18-24시,내국인,유소년,6029.323604670691
강서구,00-06시,내국인,유소년,6824.830645386695
강서구,06-12시,내국인,유소년,6689.751045327207
강서구,12-18시,내국인,유소년,6463.56142717914
강서구,18-24시,내국인,유소년,6640.990315357118
관악구,00-06시,내국인,유소년,8508.252356712575
관악구,06-12시,내국인,유소년,7711.822656162994
관악구,12-18시,내국인,유소년,7102.214885412371
관악구,18-24시,내국인,유소년,8001.242971602096
광진구,00-06시,내국인,유소년,11314.115302263835
광진구,06-12시,내국인,유소년,10912.77685975365
광진구,12-18시,내국인,유소년,10793.621899460406
광진구,18-24시,내국인,유소년,11488.766997459948
구로구,00-06시,내국인,유소년,9807.191522974026
구로구,06-12시,내국인,유소년,9685.59706999782
구로구,12-18시,내국인,유소년,9516.17712426355
구로구,18-24시,내국인,유소년,9776.940924482784
금천구,00-06시,내국인,유소년,7654.752590819183
금천구,06-12시,내국인,유소년,8454.087399168124
금천구,12-18시,내국인,유소년,8789.509565441997
금천구,18-24시,내국인,유소년,7879.766658607412
노원구,00-06시,내국인,유소년,7879.319283253193
노원구,06-12시,내국인,유소년,7434.9570146366095
노원구,12-18시,내국인,유소년,7154.991492005268
노원구,18-24시,내국인,유소년,7642.61170306364
도봉구,00-06시,내국인,유소년,6932.14494921888
도봉구,06-12시,내국인,유소년,6414.7991691797415
도봉구,12-18시,내국인,유소년,5974.847221685629
도봉구,18-24시,내국인,유소년,6586.697533065773
동대문구,00-06시,내국인,유소년,12790.217830241028
동대문구,06-12시,내국인,유소년,12687.58238719342
동대문구,12-18시,내국인,유소년,12235.87815059181
동대문구,18-24시,내국인,유소년,12397.955978247885
동작구,00-06시,내국인,유소년,12677.09061848143
동작구,06-12시,내국인,유소년,11961.678432704224
동작구,12-18시,내국인,유소년,11211.524447670005
동작구,18-24시,내국인,유소년,12184.097561177725
마포구,00-06시,내국인,유소년,9106.50882518978
마포구,06-12시,내국인,유소년,9501.95087387496
마포구,12-18시,내국인,유소년,10554.494015373864
마포구,18-24시,내국인,유소년,10114.591273582031
서대문구,00-06시,내국인,유소년,10440.104564093996
서대문구,06-12시,내국인,유소년,10780.87214571986
서대문구,12-18시,내국인,유소년,10874.95113691637
서대문구,18-24시,내국인,유소년,10397.501209279017
서초구,00-06시,내국인,유소년,5385.701829765039
서초구,06-12시,내국인,유소년,6499.525608268369
서초구,12-18시,내국인,유소년,7169.639990861746
서초구,18-24시,내국인,유소년,6111.220225459173
성동구,00-06시,내국인,유소년,9865.474237176875
성동구,06-12시,내국인,유소년,10540.775983923248
성동구,12-18시,내국인,유소년,10974.710052104205
성동구,18-24시,내국인,유소년,10376.797727156734
성북구,00-06시,내국인,유소년,9597.22434871875
성북구,06-12시,내국인,유소년,9012.63031984648
성북구,12-18시,내국인,유소년,8599.599049522387
성북구,18-24시,내국인,유소년,9250.269152433022
송파구,00-06시,내국인,유소년,11509.152743882518
송파구,06-12시,내국인,유소년,11546.927287776358
송파구,12-18시,내국인,유소년,11841.595165305427
송파구,18-24시,내국인,유소년,11777.84970617759
양천구,00-06시,내국인,유소년,12247.339004983229
양천구,06-12시,내국인,유소년,11433.975315954982
양천구,12-18시,내국인,유소년,11045.991745726884
양천구,18-24시,내국인,유소년,12056.64457270398
영등포구,00-06시,내국인,유소년,8465.092754624335
영등포구,06-12시,내국인,유소년,9714.75314365613
영등포구,12-18시,내국인,유소년,10599.536577403303
영등포구,18-24시,내국인,유소년,9265.884956636815
용산구,00-06시,내국인,유소년,5978.551206320871
용산구,06-12시,내국인,유소년,6606.142154988068
용산구,12-18시,내국인,유소년,7090.524318252522
용산구,18-24시,내국인,유소년,6459.188163600604
은평구,00-06시,내국인,유소년,8102.54051987477
은평구,06-12시,내국인,유소년,7268.061695912849
은평구,12-18시,내국인,유소년,6636.308659326303
은평구,18-24시,내국인,유소년,7577.253018804301
종로구,00-06시,내국인,유소년,4357.929216552177
종로구,06-12시,내국인,유소년,6007.45827658132
종로구,12-18시,내국인,유소년,7435.622813444251
종로구,18-24시,내국인,유소년,5361.713751753627
중구,00-06시,내국인,유소년,8522.987128445287
중구,06-12시,내국인,유소년,13752.343045781296
중구,12-18시,내국인,유소년,17346.64865669069
중구,18-24시,내국인,유소년,11101.2206415846
중랑구,00-06시,내국인,유소년,10153.752207742811
중랑구,06-12시,내국인,유소년,9200.11353416759
중랑구,12-18시,내국인,유소년,8565.923545501666
중랑구,18-24시,내국인,유소년,9608.008679787732
강남구,00-06시,내국인,생산가능,4977.41256201838
강남구,06-12시,내국인,생산가능,6750.230859040518
강남구,12-18시,내국인,생산가능,8248.490222895787
강남구,18-24시,내국인,생산가능,6130.464720180336
강동구,00-06시,내국인,생산가능,6033.431847853659
강동구,06-12시,내국인,생산가능,5447.819262259039
