자치구명,시간대,국적,분류,생활인구밀도
종로구,심야,내국인,총,8679.36
종로구,야간,내국인,총,10149.68
종로구,주간,내국인,총,13835.9
중구,심야,내국인,총,17238.73
중구,야간,내국인,총,21141.4
중구,주간,내국인,총,33035.45
용산구,심야,내국인,총,11873.07
용산구,야간,내국인,총,12573.29
용산구,주간,내국인,총,13717.48
성동구,심야,내국인,총,19206.14
성동구,야간,내국인,총,19884.88
성동구,주간,내국인,총,20962.6
광진구,심야,내국인,총,21473.36
광진구,야간,내국인,총,21710.02
광진구,주간,내국인,총,20320.98
동대문구,심야,내국인,총,24592.25
동대문구,야간,내국인,총,24060.92
동대문구,주간,내국인,총,24125.05
중랑구,심야,내국인,총,20341.98
중랑구,야간,내국인,총,19591.55
중랑구,주간,내국인,총,17604.14
성북구,심야,내국인,총,17847.52
성북구,야간,내국인,총,17390.82
성북구,주간,내국인,총,16108.75
강북구,심야,내국인,총,12971
강북구,야간,내국인,총,12557.88
강북구,주간,내국인,총,11484.56
도봉구,심야,내국인,총,13893.61
도봉구,야간,내국인,총,13460.72
도봉구,주간,내국인,총,12326.93
노원구,심야,내국인,총,14782.78
노원구,야간,내국인,총,14413.82
노원구,주간,내국인,총,13332.93
은평구,심야,내국인,총,15811.89
은평구,야간,내국인,총,15077.28
은평구,주간,내국인,총,13379.95
서대문구,심야,내국인,총,19826.27
서대문구,야간,내국인,총,19733.94
서대문구,주간,내국인,총,20466.47
마포구,심야,내국인,총,17415.11
마포구,야간,내국인,총,18845.42
마포구,주간,내국인,총,19335.85
양천구,심야,내국인,총,22507.72
양천구,야간,내국인,총,22174.81
양천구,주간,내국인,총,20258.57
강서구,심야,내국인,총,13352.89
강서구,야간,내국인,총,13066.77
강서구,주간,내국인,총,12730.87
구로구,심야,내국인,총,19241.97
구로구,야간,내국인,총,19292.84
구로구,주간,내국인,총,18865.17
금천구,심야,내국인,총,15642.42
금천구,야간,내국인,총,15950.47
금천구,주간,내국인,총,17766.03
영등포구,심야,내국인,총,16937.31
영등포구,야간,내국인,총,18162.09
영등포구,주간,내국인,총,20792.79
동작구,심야,내국인,총,24586.83
동작구,야간,내국인,총,23878.78
동작구,주간,내국인,총,22082.95
관악구,심야,내국인,총,17131.7
관악구,야간,내국인,총,16388.62
관악구,주간,내국인,총,14648.44
서초구,심야,내국인,총,10022.5
서초구,야간,내국인,총,11094.84
서초구,주간,내국인,총,13199.59
강남구,심야,내국인,총,16576.79
강남구,야간,내국인,총,18722.49
강남구,주간,내국인,총,23252.36
송파구,심야,내국인,총,21666.11
송파구,야간,내국인,총,22005.76
송파구,주간,내국인,총,21952.04
강동구,심야,내국인,총,21616.05
강동구,야간,내국인,총,20907.92
강동구,주간,내국인,총,19331.39
종로구,심야,내국인,유소년,1112.66
종로구,야간,내국인,유소년,1186.58
종로구,주간,내국인,유소년,1425.7
중구,심야,내국인,유소년,1780.38
중구,야간,내국인,유소년,1917.81
중구,주간,내국인,유소년,2319.96
용산구,심야,내국인,유소년,1506.42
용산구,야간,내국인,유소년,1499.92
용산구,주간,내국인,유소년,1570.99
성동구,심야,내국인,유소년,2722.59
성동구,야간,내국인,유소년,2769.68
성동구,주간,내국인,유소년,2791.47
광진구,심야,내국인,유소년,3085.16
광진구,야간,내국인,유소년,3180.11
광진구,주간,내국인,유소년,3239.82
동대문구,심야,내국인,유소년,3427.26
동대문구,야간,내국인,유소년,3357.16
동대문구,주간,내국인,유소년,3368.2
중랑구,심야,내국인,유소년,2857.32
중랑구,야간,내국인,유소년,2775.89
중랑구,주간,내국인,유소년,2710.04
성북구,심야,내국인,유소년,3160.15
성북구,야간,내국인,유소년,3115.85
성북구,주간,내국인,유소년,3019.96
강북구,심야,내국인,유소년,1821.75
강북구,야간,내국인,유소년,1777.61
강북구,주간,내국인,유소년,1753.62
도봉구,심야,내국인,유소년,2152.57
도봉구,야간,내국인,유소년,2108.16
도봉구,주간,내국인,유소년,2077.69
노원구,심야,내국인,유소년,2767.03
노원구,야간,내국인,유소년,2784.37
노원구,주간,내국인,유소년,2843.12
은평구,심야,내국인,유소년,2538.51
은평구,야간,내국인,유소년,2469.39
은평구,주간,내국인,유소년,2403.44
서대문구,심야,내국인,유소년,2925.67
서대문구,야간,내국인,유소년,2902.7
서대문구,주간,내국인,유소년,2987.38
마포구,심야,내국인,유소년,2468.35
마포구,야간,내국인,유소년,2661.15
마포구,주간,내국인,유소년,2665.95
양천구,심야,내국인,유소년,4743.51
양천구,야간,내국인,유소년,4887.11
양천구,주간,내국인,유소년,4748.68
강서구,심야,내국인,유소년,2093.36
강서구,야간,내국인,유소년,2054.21
강서구,주간,내국인,유소년,2050.83
구로구,심야,내국인,유소년,2955.76
구로구,야간,내국인,유소년,2906.91
구로구,주간,내국인,유소년,2888.22
금천구,심야,내국인,유소년,1786.9
금천구,야간,내국인,유소년,1812.91
금천구,주간,내국인,유소년,1810.83
영등포구,심야,내국인,유소년,2185.25
영등포구,야간,내국인,유소년,2252.7
영등포구,주간,내국인,유소년,2284.8
동작구,심야,내국인,유소년,3595.73
동작구,야간,내국인,유소년,3515.42
동작구,주간,내국인,유소년,3486.9
관악구,심야,내국인,유소년,1867.4
관악구,야간,내국인,유소년,1828.32
관악구,주간,내국인,유소년,1812.36
서초구,심야,내국인,유소년,1941.54
서초구,야간,내국인,유소년,2012.68
서초구,주간,내국인,유소년,2039.24
강남구,심야,내국인,유소년,3187.83
강남구,야간,내국인,유소년,3457.29
강남구,주간,내국인,유소년,3572.9
송파구,심야,내국인,유소년,3891.01
송파구,야간,내국인,유소년,3955.3
송파구,주간,내국인,유소년,4026.96
강동구,심야,내국인,유소년,3794.64
강동구,야간,내국인,유소년,3684.84
강동구,주간,내국인,유소년,3650.5
종로구,심야,내국인,생산가능,5585.31
종로구,야간,내국인,생산가능,6840.41
종로구,주간,내국인,생산가능,9501.03
중구,심야,내국인,생산가능,11944.18
중구,야간,내국인,생산가능,15338.55
중구,주간,내국인,생산가능,24786.16
용산구,심야,내국인,생산가능,8010.93
용산구,야간,내국인,생산가능,8714.14
용산구,주간,내국인,생산가능,9602.74
성동구,심야,내국인,생산가능,12573.55
성동구,야간,내국인,생산가능,13175.27
성동구,주간,내국인,생산가능,14138.92
광진구,심야,내국인,생산가능,14334.92
광진구,야간,내국인,생산가능,14432.33
광진구,주간,내국인,생산가능,13136.36
동대문구,심야,내국인,생산가능,15740.32
동대문구,야간,내국인,생산가능,15225.3
동대문구,주간,내국인,생산가능,14984.68
중랑구,심야,내국인,생산가능,12470.11
중랑구,야간,내국인,생산가능,11824
중랑구,주간,내국인,생산가능,10287.4
성북구,심야,내국인,생산가능,10851.89
성북구,야간,내국인,생산가능,10448.24
성북구,주간,내국인,생산가능,9529.63
강북구,심야,내국인,생산가능,7622.24
강북구,야간,내국인,생산가능,7285.3
강북구,주간,내국인,생산가능,6483.43
도봉구,심야,내국인,생산가능,7934.36
도봉구,야간,내국인,생산가능,7542.5
도봉구,주간,내국인,생산가능,6686.08
노원구,심야,내국인,생산가능,8526.22
노원구,야간,내국인,생산가능,8189.96
노원구,주간,내국인,생산가능,7271.52
은평구,심야,내국인,생산가능,9565.22
은평구,야간,내국인,생산가능,8936.87
은평구,주간,내국인,생산가능,7621.03
서대문구,심야,내국인,생산가능,12815.72
서대문구,야간,내국인,생산가능,12751.17
서대문구,주간,내국인,생산가능,13449.95
마포구,심야,내국인,생산가능,11927.93
마포구,야간,내국인,생산가능,13148.31
마포구,주간,내국인,생산가능,13559.68
양천구,심야,내국인,생산가능,13089.74
양천구,야간,내국인,생산가능,12622.85
양천구,주간,내국인,생산가능,11165.89
강서구,심야,내국인,생산가능,8407.38
강서구,야간,내국인,생산가능,8174.64
강서구,주간,내국인,생산가능,7962.02
구로구,심야,내국인,생산가능,12027.82
구로구,야간,내국인,생산가능,12106.34
구로구,주간,내국인,생산가능,11877.89
금천구,심야,내국인,생산가능,10478.84
금천구,야간,내국인,생산가능,10696.95
금천구,주간,내국인,생산가능,12462.84
영등포구,심야,내국인,생산가능,11371.96
영등포구,야간,내국인,생산가능,12432.78
영등포구,주간,내국인,생산가능,14698.48
동작구,심야,내국인,생산가능,15816.97
동작구,야간,내국인,생산가능,15228.82
동작구,주간,내국인,생산가능,13789.74
관악구,심야,내국인,생산가능,12014.56
관악구,야간,내국인,생산가능,11326.03
관악구,주간,내국인,생산가능,9843.47
서초구,심야,내국인,생산가능,6193.95
서초구,야간,내국인,생산가능,7109.52
서초구,주간,내국인,생산가능,8877.24
강남구,심야,내국인,생산가능,10464
강남구,야간,내국인,생산가능,12279.05
강남구,주간,내국인,생산가능,16157.51
송파구,심야,내국인,생산가능,13407.21
송파구,야간,내국인,생산가능,13680.72
송파구,주간,내국인,생산가능,13594.4
강동구,심야,내국인,생산가능,12873.2
강동구,야간,내국인,생산가능,12301.52
강동구,주간,내국인,생산가능,11034.94
종로구,심야,내국인,고령,1981.39
종로구,야간,내국인,고령,2122.69
종로구,주간,내국인,고령,2909.17
중구,심야,내국인,고령,3514.17
중구,야간,내국인,고령,3885.04
중구,주간,내국인,고령,5929.33
용산구,심야,내국인,고령,2355.72
용산구,야간,내국인,고령,2359.23
용산구,주간,내국인,고령,2543.75
성동구,심야,내국인,고령,3910
성동구,야간,내국인,고령,3939.93
성동구,주간,내국인,고령,4032.21
광진구,심야,내국인,고령,4053.28
광진구,야간,내국인,고령,4097.58
