자치구명,면적,총_인구밀도,유소년_인구밀도,생산가능_인구밀도,고령_인구밀도,내국인_심야_총_생활인구밀도,내국인_야간_총_생활인구밀도,내국인_주간_총_생활인구밀도,내국인_심야_유소년_생활인구밀도,내국인_야간_유소년_생활인구밀도,내국인_주간_유소년_생활인구밀도,내국인_심야_생산가능_생활인구밀도,내국인_야간_생산가능_생활인구밀도,내국인_주간_생산가능_생활인구밀도,내국인_심야_고령_생활인구밀도,내국인_야간_고령_생활인구밀도,내국인_주간_고령_생활인구밀도,외국인_심야_TEMP_생활인구밀도,외국인_야간_TEMP_생활인구밀도,외국인_주간_TEMP_생활인구밀도,외국인_심야_LONG_생활인구밀도,외국인_야간_LONG_생활인구밀도,외국인_주간_LONG_생활인구밀도
중구,9.96,13131,1303,8891,2339,17238.73,21141.4,33035.45,1780.38,1917.81,2319.96,11944.18,15338.55,24786.16,3514.17,3885.04,5929.33,2135,2039.27,1852.34,1587.12,1821.71,2067.55
용산구,21.87,10668,1233,7117,1662,11873.07,12573.29,13717.48,1506.42,1499.92,1570.99,8010.93,8714.14,9602.74,2355.72,2359.23,2543.75,270.18,274.44,256.65,786.62,809.61,778.98
성동구,16.82,17136,2181,11889,2740,19206.14,19884.88,20962.6,2722.59,2769.68,2791.47,12573.55,13175.27,14138.92,3910,3939.93,4032.21,182.42,192.29,200.57,928,939.9,968.9
광진구,17.06,20586,2428,14799,3078,21473.36,21710.02,20320.98,3085.16,3180.11,3239.82,14334.92,14432.33,13136.36,4053.28,4097.58,3944.8,190.94,196.21,187.25,1344.32,1304.96,1175.61
동대문구,14.22,24873,2983,17118,4358,24592.25,24060.92,24125.05,3427.26,3357.16,3368.2,15740.32,15225.3,14984.68,5424.67,5478.46,5772.17,325.54,311.46,310.85,1893.98,1731.72,1721.8
중랑구,18.5,21092,2432,14244,3894,20341.98,19591.55,17604.14,2857.32,2775.89,2710.04,12470.11,11824,10287.4,5014.55,4991.66,4606.7,49.28,47.69,46.84,344.4,327.14,290.64
성북구,24.58,17983,2610,12092,3019,17847.52,17390.82,16108.75,3160.15,3115.85,3019.96,10851.89,10448.24,9529.63,3835.48,3826.73,3559.16,134.49,132.7,132.78,627.41,603.88,612.61
강북구,23.6,12614,1386,8153,2704,12971,12557.88,11484.56,1821.75,1777.61,1753.62,7622.24,7285.3,6483.43,3527.01,3494.97,3247.51,43.43,41.98,41.31,228.4,211.35,196.58
도봉구,20.65,15205,1862,9807,3132,13893.61,13460.72,12326.93,2152.57,2108.16,2077.69,7934.36,7542.5,6686.08,3806.68,3810.06,3563.16,36.65,35.58,34.48,138.84,132.85,130.68
노원구,35.44,14335,2190,9379,2488,14782.78,14413.82,13332.93,2767.03,2784.37,2843.12,8526.22,8189.96,7271.52,3489.53,3439.49,3218.29,33.75,33.05,32.72,155.23,147.75,154.04
은평구,29.71,15838,2079,10392,2925,15811.89,15077.28,13379.95,2538.51,2469.39,2403.44,9565.22,8936.87,7621.03,3708.16,3671.02,3355.48,48.51,46.72,46.34,201.25,189.14,183.31
서대문구,17.63,18129,2387,12524,3021,19826.27,19733.94,20466.47,2925.67,2902.7,2987.38,12815.72,12751.17,13449.95,4084.88,4080.07,4029.14,504.15,447.22,452.02,1172.08,1112.72,1141.25
마포구,23.85,15745,2040,10946,2233,17415.11,18845.42,19335.85,2468.35,2661.15,2665.95,11927.93,13148.31,13559.68,3018.83,3035.96,3110.22,482.29,492.83,427.6,817.24,866.32,848.4
양천구,17.41,25509,4231,16431,3974,22507.72,22174.81,20258.57,4743.51,4887.11,4748.68,13089.74,12622.85,11165.89,4674.47,4664.85,4344,80.05,79.99,79.17,277.68,279.24,283.84
