자치구명,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,주요기관_수,주요기관_밀도
종로구,1,2,22,0,1,6,32,1.34
중구,0,2,18,1,1,5,27,2.71
용산구,0,1,12,0,1,5,19,0.87
성동구,0,1,15,0,1,4,21,1.25
광진구,0,1,12,0,1,3,17,1.00
동대문구,0,1,20,0,1,5,27,1.90
중랑구,0,1,17,0,1,4,23,1.24
성북구,0,2,24,0,1,4,31,1.26
강북구,0,1,14,0,1,4,20,0.85
도봉구,0,1,9,0,1,4,15,0.73
노원구,0,1,16,0,1,5,23,0.65
은평구,0,2,20,0,1,4,27,0.91
서대문구,1,1,10,0,1,4,17,0.96
마포구,0,1,15,0,1,6,23,0.96
양천구,0,1,15,0,1,5,23,1.32
강서구,0,1,12,0,1,6,20,0.48
구로구,0,1,17,0,1,6,25,1.24
금천구,0,1,12,0,1,2,16,1.23
영등포구,0,1,15,0,1,5,23,0.94
동작구,0,1,17,0,1,4,23,1.41
관악구,0,1,18,0,1,4,25,0.85
서초구,0,2,19,0,1,6,30,0.64
강남구,0,2,21,0,1,6,35,0.89
송파구,0,1,21,0,1,6,35,1.03
강동구,0,1,16,0,1,6,24,0.98
