범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간 강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취 유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서 인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울종로구,2,1,5,25,10,204,0,4,1173,127,905,6,116,2,32,37,332,28,27,6,9,63,0,2032,815,31,123,19,523,100,119,1,657,4,11,2,22,1650
서울중구,0,3,6,30,4,182,0,13,1523,127,1001,8,131,4,40,24,286,18,22,0,59,62,2,2094,794,31,108,21,727,73,108,0,652,3,4,3,18,1612
서울용산구,1,2,3,45,4,195,0,16,971,107,1018,7,140,0,35,50,415,7,13,2,11,43,0,1643,492,21,127,10,431,200,102,1,1076,4,3,0,30,1817
서울성동구,1,1,2,22,6,92,0,4,891,79,548,4,114,3,12,34,211,5,17,3,7,53,0,1829,539,30,131,21,320,95,29,1,935,3,1,2,39,1283
서울광진구,0,2,5,42,9,188,0,5,1619,111,842,4,137,1,44,45,375,14,24,2,3,61,1,2075,750,22,173,31,473,100,53,0,850,1,0,5,65,1556
서울동대문구,2,3,4,36,5,107,1,11,1278,101,839,11,170,4,29,53,317,13,13,3,8,70,3,2074,891,28,140,19,469,102,94,1,1478,1,0,0,53,1454
서울중랑구,4,2,2,40,9,118,0,4,1400,121,913,5,200,4,36,39,428,4,6,1,2,60,0,2003,475,6,122,36,407,86,56,1,1169,1,1,3,57,1715
서울성북구,1,0,1,25,7,105,2,7,982,74,731,5,131,0,30,43,268,2,0,0,4,61,1,2209,415,13,173,20,344,78,49,0,895,1,2,0,42,1409
서울강북구,2,5,1,21,9,108,1,4,917,107,817,4,134,3,55,62,252,5,10,1,0,71,0,1739,295,14,122,24,342,93,58,1,926,2,2,1,53,1787
서울도봉구,2,5,4,10,4,74,0,9,997,72,467,4,74,2,19,29,160,5,5,0,2,39,0,1291,299,7,95,12,235,68,32,4,468,0,1,1,44,993
서울노원구,3,4,3,41,2,110,1,14,1629,81,1076,5,198,4,28,35,336,5,8,0,4,64,0,2025,617,15,205,25,460,92,70,0,1044,3,2,0,73,1862
서울은평구,2,5,3,30,7,112,1,10,1612,118,920,5,170,2,37,34,425,5,17,4,4,62,1,2478,445,23,159,23,454,59,63,0,1003,0,0,0,57,1555
서울서대문구,0,5,0,46,12,97,1,4,1190,74,495,1,114,1,32,68,241,6,9,1,4,38,0,1518,486,16,110,14,297,52,34,3,692,3,12,1,24,1115
서울마포구,2,1,4,88,12,354,1,9,1479,154,1157,10,163,1,52,46,329,16,21,5,11,92,1,1801,1104,47,290,25,530,273,262,1,1565,1,1,0,54,2380
서울양천구,3,2,2,32,5,74,0,5,1411,89,790,10,173,3,39,23,363,21,10,1,7,89,1,1647,424,19,131,16,375,50,44,3,858,0,14,1,67,1727
서울강서구,0,1,6,77,12,203,2,14,1790,125,1278,12,256,4,68,63,372,10,10,1,6,121,0,2886,703,38,262,52,491,135,113,6,1290,2,2,12,75,2456
서울구로구,0,12,7,34,7,150,0,11,1627,121,1092,5,213,4,48,47,373,8,16,1,3,95,0,2087,691,21,137,33,565,155,63,0,1056,2,1,0,42,1683
서울금천구,1,3,5,25,5,93,2,6,980,80,606,10,155,2,32,21,210,14,6,1,4,46,0,1846,432,26,85,18,535,61,48,1,801,2,1,0,48,1236
서울영등포구,6,6,9,51,12,245,0,9,1856,172,1247,9,218,2,71,33,475,17,21,3,6,145,4,3021,1039,44,195,41,655,151,113,4,1626,2,3,12,67,2315
서울동작구,0,3,3,18,2,176,0,9,1191,100,683,8,130,2,17,55,275,3,11,1,3,66,1,1712,581,20,159,10,244,64,59,0,1523,4,1,1,41,1692
서울관악구,3,14,10,78,20,220,3,13,2005,135,1341,10,237,4,74,49,540,11,24,0,3,92,0,4204,855,21,315,41,647,175,83,4,1152,0,2,1,185,2808
서울서초구,1,6,9,55,9,340,2,10,1941,106,1249,16,220,6,52,88,419,29,38,8,4,204,2,4066,1006,81,223,19,684,252,257,4,2093,7,4,3,90,3338
서울강남구,2,12,19,181,38,464,2,12,2480,262,2065,26,366,5,83,107,651,25,41,3,11,238,1,8077,1792,179,414,74,1663,972,689,6,2989,18,4,3,124,5016
서울송파구,2,6,9,64,7,233,1,11,2419,125,1431,6,269,4,45,104,494,33,21,2,15,186,0,3757,1176,50,252,29,684,160,200,3,2193,4,30,2,81,3082
서울강동구,1,3,5,34,6,99,0,7,1676,102,893,9,149,0,34,33,348,13,12,1,2,86,1,2129,454,18,155,31,626,76,52,1,1045,0,2,2,63,1617
